Var1,Var2,Var3
83332.Rv1601,83332.Rv1600,999
83332.Rv1601,83332.Rv1602,999
83332.Rv1601,83332.Rv1603,997
83332.Rv1601,83332.Rv1605,999
83332.Rv1601,83332.Rv1606,997
83332.Rv1602,83332.Rv1599,998
83332.Rv1602,83332.Rv1601,999
83332.Rv1602,83332.Rv1603,999
83332.Rv1602,83332.Rv1605,999
83332.Rv1603,83332.Rv1599,996
83332.Rv1603,83332.Rv1601,997
83332.Rv1603,83332.Rv1602,999
83332.Rv1603,83332.Rv1605,998
83332.Rv1603,83332.Rv1606,999
83332.Rv1605,83332.Rv1599,998
83332.Rv1605,83332.Rv1601,999
83332.Rv1605,83332.Rv1602,999
83332.Rv1605,83332.Rv1603,998
83332.Rv1605,83332.Rv1606,999
83332.Rv1606,83332.Rv1599,999
83332.Rv1606,83332.Rv1601,997
83332.Rv1606,83332.Rv1603,999
83332.Rv1606,83332.Rv1605,999
83332.Rv1606,83332.Rv2122c,997
83332.Rv1609,83332.Rv0013,999
83332.Rv1609,83332.Rv2192c,998
83332.Rv1611,83332.Rv1612,999
83332.Rv1611,83332.Rv1613,999
83332.Rv1611,83332.Rv2192c,999
83332.Rv1612,83332.Rv1611,999
83332.Rv1612,83332.Rv1613,999
83332.Rv1613,83332.Rv1611,999
83332.Rv1613,83332.Rv1612,999
83332.Rv1617,83332.Rv1023,997
83332.Rv1622c,83332.Rv1623c,999
83332.Rv1623c,83332.Rv1622c,999
83332.Rv1633,83332.Rv1420,999
83332.Rv1633,83332.Rv1638,999
83332.Rv1638,83332.Rv1633,999
83332.Rv1649,83332.Rv1650,999
83332.Rv1650,83332.Rv1649,999
83332.Rv1652,83332.Rv1653,997
83332.Rv1652,83332.Rv1654,999
83332.Rv1652,83332.Rv1655,999
83332.Rv1652,83332.Rv1656,998
83332.Rv1653,83332.Rv1652,997
83332.Rv1653,83332.Rv1654,999
83332.Rv1653,83332.Rv1655,998
83332.Rv1653,83332.Rv1656,999
83332.Rv1653,83332.Rv1658,998
83332.Rv1654,83332.Rv1652,999
83332.Rv1654,83332.Rv1653,999
83332.Rv1655,83332.Rv1652,999
83332.Rv1655,83332.Rv1653,998
83332.Rv1656,83332.Rv1383,996
83332.Rv1656,83332.Rv1652,998
